method,variant,threads,steps,mean_time,mean_abs_err
integration,critical,1,100000,0.001126,0.0013989188
integration,critical,1,1000000,0.010311,0.0005665335
integration,critical,1,10000000,0.104327,0.0001359685
integration,critical,1,100000000,1.056109,0.0000167396
integration,critical,2,100000,0.003725,0.0013960073
integration,critical,2,1000000,0.036701,0.0005557553
integration,critical,2,10000000,0.381454,0.0001263600
integration,critical,2,100000000,3.853053,0.0000244100
integration,critical,4,100000,0.012637,0.0015413406
integration,critical,4,1000000,0.113482,0.0005132900
integration,critical,4,10000000,1.214379,0.0001317285
integration,critical,4,100000000,11.493596,0.0000360193
integration,critical,8,100000,0.050054,0.0012846739
integration,critical,8,1000000,0.100619,0.0004191131
integration,critical,8,10000000,0.994208,0.0001153449
integration,critical,8,100000000,12.095441,0.0000426518
integration,critical,16,100000,0.030781,0.0011722522
integration,critical,16,1000000,0.231164,0.0003449348
integration,critical,16,10000000,2.612130,0.0001341467
integration,critical,16,100000000,28.406847,0.0000359887
integration,critical,32,100000,0.090144,0.0014078304
integration,critical,32,1000000,0.329603,0.0005014002
integration,critical,32,10000000,2.773403,0.0001950556
integration,critical,32,100000000,28.469441,0.0000332016
integration,critical,64,100000,0.100712,0.0015338304
integration,critical,64,1000000,0.441359,0.0003553784
integration,critical,64,10000000,3.582347,0.0001690449
integration,critical,64,100000000,34.676904,0.0000608590
integration,critical,128,100000,0.047521,0.0014284970
integration,critical,128,1000000,0.434496,0.0004111118
integration,critical,128,10000000,4.099531,0.0001471654
integration,critical,128,100000000,39.858507,0.0000530768
