threads,guesses,mean_time,mean_abs_err
1,100000,0.001349,0.0016780073
1,1000000,0.012968,0.0005003566
1,10000000,0.134291,0.0001511129
1,100000000,1.370114,0.0000203294
2,100000,0.000705,0.0014033406
2,1000000,0.006546,0.0003453771
2,10000000,0.067747,0.0001271716
2,100000000,0.686915,0.0000295536
4,100000,0.000388,0.0014457624
4,1000000,0.003815,0.0003555784
4,10000000,0.034529,0.0002006267
4,100000000,0.347617,0.0000414940
8,100000,0.050251,0.0016624970
8,1000000,0.040789,0.0004786900
8,10000000,0.059973,0.0001729382
8,100000000,0.283700,0.0000509296
16,100000,0.022210,0.0015684970
16,1000000,0.019149,0.0004612913
16,10000000,0.022512,0.0001606738
16,100000000,0.088565,0.0000551153
32,100000,0.058278,0.0014406739
32,1000000,0.070778,0.0004224233
32,10000000,0.039874,0.0001751702
32,100000000,0.112540,0.0000504411
64,100000,0.030749,0.0015031637
64,1000000,0.033797,0.0003558220
64,10000000,0.028725,0.0001173036
64,100000000,0.082558,0.0000595776
128,100000,0.001143,0.0015894086
128,1000000,0.000328,0.0004362887
128,10000000,0.017369,0.0001536933
128,100000000,0.038228,0.0000392729
