grid_size,block_size,csr_time
62451,32,0.00045471
62451,64,0.00040877
62451,128,0.00066359
62451,256,0.00129960
62451,512,0.00275928
31225,32,0.00023461
31225,64,0.00021162
31225,128,0.00033781
31225,256,0.00065630
31225,512,0.00138929
15612,32,0.00012572
15612,64,0.00011348
15612,128,0.00017617
15612,256,0.00033417
15612,512,0.00070055
7806,32,0.00006778
7806,64,0.00006381
7806,128,0.00009413
7806,256,0.00017316
7806,512,0.00035660
3903,32,0.00003325
3903,64,0.00003157
3903,128,0.00004554
3903,256,0.00007933
3903,512,0.00016853
